year-month,ing_id,ing_name,avg_stock,stock_volatility,volatility_index,risk_tier
2023-03,ing014,"Italian Sausage",8.74,1.83,0.21,"Yellow Warning (Moderately Shifting)"
2023-03,ing015,"Roasted Garlic",13.90,2.41,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing016,"Red Onion",16.71,3.36,0.2,"Yellow Warning (Moderately Shifting)"
2023-03,ing017,"Fresh Basil",7.87,1.1,0.14,"Green Healthy (Rock-Solid Stability)"
2023-03,ing018,"Smoked Salmon",-5.48,4.96,-0.9,"Red Alert (Wildly Volatile)"
2023-03,ing019,"Dill Cream Cheese",8.71,1.8,0.21,"Yellow Warning (Moderately Shifting)"
2023-03,ing020,Capers,8.45,1.04,0.12,"Green Healthy (Rock-Solid Stability)"
2023-03,ing021,Arugula,12.71,1.71,0.13,"Green Healthy (Rock-Solid Stability)"
2023-03,ing022,"BBQ Brisket",6.93,1.44,0.21,"Yellow Warning (Moderately Shifting)"
2023-03,ing023,"Cheddar Cheese",10.90,1.78,0.16,"Green Healthy (Rock-Solid Stability)"
2023-03,ing024,"BBQ Sauce",13.53,2.12,0.16,"Green Healthy (Rock-Solid Stability)"
2023-03,ing025,"Tandoori Chicken",8.59,1.45,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing026,"Mint Yogurt",10.66,0.88,0.08,"Green Healthy (Rock-Solid Stability)"
2023-03,ing027,"Green Chilli",8.55,0.62,0.07,"Green Healthy (Rock-Solid Stability)"
2023-03,ing028,"Grilled Pineapple",9.27,1.57,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing029,"Pulled Pork",5.53,1.63,0.29,"Yellow Warning (Moderately Shifting)"
2023-03,ing030,"Truffle Fries",18.57,3.33,0.18,"Green Healthy (Rock-Solid Stability)"
2023-03,ing031,Parmesan,10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-03,ing032,"Cauliflower Florets",16.21,2.94,0.18,"Green Healthy (Rock-Solid Stability)"
2023-03,ing033,"Buffalo Sauce",13.29,0.45,0.03,"Green Healthy (Rock-Solid Stability)"
2023-03,ing034,Ranch,14.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-03,ing035,"Garlic Knots",25.97,4.37,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing036,Kale,16.86,1.68,0.1,"Green Healthy (Rock-Solid Stability)"
2023-03,ing037,Spinach,13.82,2.48,0.18,"Green Healthy (Rock-Solid Stability)"
2023-03,ing038,Avocado,13.68,0.6,0.04,"Green Healthy (Rock-Solid Stability)"
2023-03,ing039,"Mixed Seeds",16.07,0.26,0.02,"Green Healthy (Rock-Solid Stability)"
2023-03,ing040,"Caramel Filling",11.47,1.69,0.15,"Green Healthy (Rock-Solid Stability)"
2023-03,ing041,"Chocolate Syrup",18.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-03,ing042,"Espresso Panna Base",8.78,1.4,0.16,"Green Healthy (Rock-Solid Stability)"
2023-03,ing043,"Vanilla Syrup",10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-03,ing044,"Berry Mix",17.08,2.25,0.13,"Green Healthy (Rock-Solid Stability)"
2023-03,ing045,"Oat Crumble",13.77,1.28,0.09,"Green Healthy (Rock-Solid Stability)"
2023-03,ing047,"Cold Brew Coffee",43.14,10.49,0.24,"Yellow Warning (Moderately Shifting)"
2023-03,ing048,"Cold Brew Coffee 1.5L",29.80,6.25,0.21,"Yellow Warning (Moderately Shifting)"
2023-03,ing049,"Ginger Fizz 33cl",51.28,11.2,0.22,"Yellow Warning (Moderately Shifting)"
2023-03,ing052,"Lime Mint Sparkle 1.5L",33.69,6.9,0.2,"Yellow Warning (Moderately Shifting)"
2023-03,ing053,"Berry Kombucha 33cl",48.93,11.88,0.24,"Yellow Warning (Moderately Shifting)"
2023-03,ing054,"Berry Kombucha 1.5L",27.71,8.05,0.29,"Yellow Warning (Moderately Shifting)"
2023-03,ing010,"Wild Mushrooms",9.30,3.27,0.35,"Yellow Warning (Moderately Shifting)"
2023-03,ing013,"Fresh Spinach",13.13,2.25,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing046,"Mango Sticky Rice Mix",15.41,2.6,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing051,"Lime Mint Sparkle 33cl",56.23,12.58,0.22,"Yellow Warning (Moderately Shifting)"
2023-03,ing050,"Ginger Fizz 1.5L",33.35,11.37,0.34,"Yellow Warning (Moderately Shifting)"
2023-04,ing001,"Flatbread Dough (8-pack)",7.00,12.06,1.72,"Red Alert (Wildly Volatile)"
2023-04,ing002,"Roasted Red Peppers",16.40,2.8,0.17,"Green Healthy (Rock-Solid Stability)"
2023-04,ing003,"Goat Cheese",10.60,1.93,0.18,"Green Healthy (Rock-Solid Stability)"
2023-04,ing004,"Black Olives",22.57,3.54,0.16,"Green Healthy (Rock-Solid Stability)"
2023-04,ing005,"Sun-Dried Tomatoes",13.57,2.06,0.15,"Green Healthy (Rock-Solid Stability)"
2023-04,ing007,Jalapenos,16.77,2.74,0.16,"Green Healthy (Rock-Solid Stability)"
2023-04,ing010,"Wild Mushrooms",8.27,2.62,0.32,"Yellow Warning (Moderately Shifting)"
2023-04,ing011,"Truffle Oil",4.60,1.23,0.27,"Yellow Warning (Moderately Shifting)"
2023-04,ing012,Mozzarella,17.70,2.87,0.16,"Green Healthy (Rock-Solid Stability)"
2023-04,ing013,"Fresh Spinach",12.50,2.26,0.18,"Green Healthy (Rock-Solid Stability)"
2023-04,ing014,"Italian Sausage",8.89,1.76,0.2,"Yellow Warning (Moderately Shifting)"
2023-04,ing015,"Roasted Garlic",14.46,2.85,0.2,"Yellow Warning (Moderately Shifting)"
2023-04,ing016,"Red Onion",16.80,3.05,0.18,"Green Healthy (Rock-Solid Stability)"
2023-04,ing017,"Fresh Basil",8.89,1.14,0.13,"Green Healthy (Rock-Solid Stability)"
2023-04,ing018,"Smoked Salmon",-4.17,4.3,-1.03,"Red Alert (Wildly Volatile)"
2023-04,ing019,"Dill Cream Cheese",9.28,1.6,0.17,"Green Healthy (Rock-Solid Stability)"
2023-04,ing020,Capers,8.72,0.45,0.05,"Green Healthy (Rock-Solid Stability)"
2023-04,ing021,Arugula,16.72,0.45,0.03,"Green Healthy (Rock-Solid Stability)"
2023-04,ing022,"BBQ Brisket",7.20,1.33,0.18,"Green Healthy (Rock-Solid Stability)"
2023-04,ing023,"Cheddar Cheese",11.00,2.08,0.19,"Green Healthy (Rock-Solid Stability)"
2023-04,ing024,"BBQ Sauce",13.20,2.3,0.17,"Green Healthy (Rock-Solid Stability)"
2023-04,ing025,"Tandoori Chicken",7.83,1.51,0.19,"Green Healthy (Rock-Solid Stability)"
2023-04,ing026,"Mint Yogurt",10.10,1.92,0.19,"Green Healthy (Rock-Solid Stability)"
2023-04,ing027,"Green Chilli",5.97,1.47,0.25,"Yellow Warning (Moderately Shifting)"
2023-04,ing028,"Grilled Pineapple",9.62,1.63,0.17,"Green Healthy (Rock-Solid Stability)"
2023-04,ing029,"Pulled Pork",5.83,1.68,0.29,"Yellow Warning (Moderately Shifting)"
2023-04,ing030,"Truffle Fries",20.59,3.55,0.17,"Green Healthy (Rock-Solid Stability)"
2023-04,ing031,Parmesan,10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-04,ing032,"Cauliflower Florets",16.00,2.55,0.16,"Green Healthy (Rock-Solid Stability)"
2023-04,ing033,"Buffalo Sauce",11.80,1.06,0.09,"Green Healthy (Rock-Solid Stability)"
2023-04,ing034,Ranch,14.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-04,ing035,"Garlic Knots",23.88,3.1,0.13,"Green Healthy (Rock-Solid Stability)"
2023-04,ing036,Kale,13.63,0.55,0.04,"Green Healthy (Rock-Solid Stability)"
2023-04,ing037,Spinach,14.44,2.56,0.18,"Green Healthy (Rock-Solid Stability)"
2023-04,ing038,Avocado,13.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-04,ing039,"Mixed Seeds",16.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-04,ing040,"Caramel Filling",11.81,1.94,0.16,"Green Healthy (Rock-Solid Stability)"
2023-04,ing041,"Chocolate Syrup",18.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-04,ing044,"Berry Mix",15.96,1.34,0.08,"Green Healthy (Rock-Solid Stability)"
2023-04,ing045,"Oat Crumble",15.79,2.36,0.15,"Green Healthy (Rock-Solid Stability)"
2023-04,ing047,"Cold Brew Coffee",44.17,9.94,0.23,"Yellow Warning (Moderately Shifting)"
2023-04,ing048,"Cold Brew Coffee 1.5L",29.30,9.5,0.32,"Yellow Warning (Moderately Shifting)"
2023-04,ing049,"Ginger Fizz 33cl",54.76,11.87,0.22,"Yellow Warning (Moderately Shifting)"
2023-04,ing050,"Ginger Fizz 1.5L",29.30,10.63,0.36,"Yellow Warning (Moderately Shifting)"
2023-04,ing051,"Lime Mint Sparkle 33cl",56.32,10.44,0.19,"Green Healthy (Rock-Solid Stability)"
2023-04,ing052,"Lime Mint Sparkle 1.5L",31.17,9.15,0.29,"Yellow Warning (Moderately Shifting)"
2023-04,ing053,"Berry Kombucha 33cl",48.42,9.58,0.2,"Yellow Warning (Moderately Shifting)"
2023-04,ing054,"Berry Kombucha 1.5L",28.57,9.48,0.33,"Yellow Warning (Moderately Shifting)"
2023-04,ing006,"Spicy Chicken",8.72,1.78,0.2,"Yellow Warning (Moderately Shifting)"
2023-04,ing008,"Smoked Gouda",9.76,1.85,0.19,"Green Healthy (Rock-Solid Stability)"
2023-04,ing009,"Chipotle Sauce",15.10,1.99,0.13,"Green Healthy (Rock-Solid Stability)"
2023-04,ing042,"Espresso Panna Base",9.68,1.39,0.14,"Green Healthy (Rock-Solid Stability)"
2023-04,ing043,"Vanilla Syrup",10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-04,ing046,"Mango Sticky Rice Mix",14.54,2.55,0.18,"Green Healthy (Rock-Solid Stability)"
2023-05,ing001,"Flatbread Dough (8-pack)",13.42,8.66,0.65,"Red Alert (Wildly Volatile)"
2023-05,ing002,"Roasted Red Peppers",17.97,1.03,0.06,"Green Healthy (Rock-Solid Stability)"
2023-05,ing003,"Goat Cheese",10.77,1.72,0.16,"Green Healthy (Rock-Solid Stability)"
2023-05,ing004,"Black Olives",22.65,1.71,0.08,"Green Healthy (Rock-Solid Stability)"
2023-05,ing005,"Sun-Dried Tomatoes",13.97,1.03,0.07,"Green Healthy (Rock-Solid Stability)"
2023-05,ing006,"Spicy Chicken",9.03,1.83,0.2,"Yellow Warning (Moderately Shifting)"
2023-05,ing007,Jalapenos,17.06,3.44,0.2,"Yellow Warning (Moderately Shifting)"
2023-05,ing008,"Smoked Gouda",9.14,2.19,0.24,"Yellow Warning (Moderately Shifting)"
2023-05,ing009,"Chipotle Sauce",15.03,1.85,0.12,"Green Healthy (Rock-Solid Stability)"
2023-05,ing010,"Wild Mushrooms",9.77,2.28,0.23,"Yellow Warning (Moderately Shifting)"
2023-05,ing011,"Truffle Oil",4.87,1.04,0.21,"Yellow Warning (Moderately Shifting)"
2023-05,ing012,Mozzarella,17.84,2.98,0.17,"Green Healthy (Rock-Solid Stability)"
2023-05,ing013,"Fresh Spinach",13.32,2.23,0.17,"Green Healthy (Rock-Solid Stability)"
2023-05,ing014,"Italian Sausage",8.83,1.55,0.18,"Green Healthy (Rock-Solid Stability)"
2023-05,ing015,"Roasted Garlic",14.87,1.75,0.12,"Green Healthy (Rock-Solid Stability)"
2023-05,ing016,"Red Onion",17.65,2.88,0.16,"Green Healthy (Rock-Solid Stability)"
2023-05,ing017,"Fresh Basil",8.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing018,"Smoked Salmon",-4.16,4.13,-0.99,"Red Alert (Wildly Volatile)"
2023-05,ing019,"Dill Cream Cheese",8.35,2.02,0.24,"Yellow Warning (Moderately Shifting)"
2023-05,ing020,Capers,8.48,0.95,0.11,"Green Healthy (Rock-Solid Stability)"
2023-05,ing021,Arugula,13.16,1.61,0.12,"Green Healthy (Rock-Solid Stability)"
2023-05,ing022,"BBQ Brisket",7.60,1.4,0.18,"Green Healthy (Rock-Solid Stability)"
2023-05,ing023,"Cheddar Cheese",11.19,1.8,0.16,"Green Healthy (Rock-Solid Stability)"
2023-05,ing024,"BBQ Sauce",14.30,1.93,0.14,"Green Healthy (Rock-Solid Stability)"
2023-05,ing028,"Grilled Pineapple",9.17,1.6,0.17,"Green Healthy (Rock-Solid Stability)"
2023-05,ing029,"Pulled Pork",5.45,1.57,0.29,"Yellow Warning (Moderately Shifting)"
2023-05,ing030,"Truffle Fries",18.89,2.45,0.13,"Green Healthy (Rock-Solid Stability)"
2023-05,ing031,Parmesan,10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing032,"Cauliflower Florets",15.57,2.76,0.18,"Green Healthy (Rock-Solid Stability)"
2023-05,ing033,"Buffalo Sauce",12.65,1.83,0.14,"Green Healthy (Rock-Solid Stability)"
2023-05,ing034,Ranch,14.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing035,"Garlic Knots",26.00,4.24,0.16,"Green Healthy (Rock-Solid Stability)"
2023-05,ing036,Kale,18.36,2.11,0.12,"Green Healthy (Rock-Solid Stability)"
2023-05,ing037,Spinach,13.28,2.24,0.17,"Green Healthy (Rock-Solid Stability)"
2023-05,ing038,Avocado,13.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing039,"Mixed Seeds",16.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing040,"Caramel Filling",11.30,2.12,0.19,"Green Healthy (Rock-Solid Stability)"
2023-05,ing041,"Chocolate Syrup",18.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing042,"Espresso Panna Base",9.44,1.42,0.15,"Green Healthy (Rock-Solid Stability)"
2023-05,ing043,"Vanilla Syrup",10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-05,ing046,"Mango Sticky Rice Mix",13.14,2.18,0.17,"Green Healthy (Rock-Solid Stability)"
2023-05,ing047,"Cold Brew Coffee",50.76,10.37,0.2,"Yellow Warning (Moderately Shifting)"
2023-05,ing048,"Cold Brew Coffee 1.5L",30.11,8.65,0.29,"Yellow Warning (Moderately Shifting)"
2023-05,ing049,"Ginger Fizz 33cl",52.67,11.61,0.22,"Yellow Warning (Moderately Shifting)"
2023-05,ing050,"Ginger Fizz 1.5L",31.31,9.89,0.32,"Yellow Warning (Moderately Shifting)"
2023-05,ing051,"Lime Mint Sparkle 33cl",57.11,11.45,0.2,"Yellow Warning (Moderately Shifting)"
2023-05,ing052,"Lime Mint Sparkle 1.5L",31.25,10.54,0.34,"Yellow Warning (Moderately Shifting)"
2023-05,ing053,"Berry Kombucha 33cl",48.59,12.29,0.25,"Yellow Warning (Moderately Shifting)"
2023-05,ing054,"Berry Kombucha 1.5L",28.82,8.24,0.29,"Yellow Warning (Moderately Shifting)"
2023-05,ing025,"Tandoori Chicken",8.23,1.65,0.2,"Yellow Warning (Moderately Shifting)"
2023-05,ing026,"Mint Yogurt",10.17,1.67,0.16,"Green Healthy (Rock-Solid Stability)"
2023-05,ing027,"Green Chilli",6.33,1.22,0.19,"Green Healthy (Rock-Solid Stability)"
2023-05,ing044,"Berry Mix",17.72,2.2,0.12,"Green Healthy (Rock-Solid Stability)"
2023-05,ing045,"Oat Crumble",12.56,0.5,0.04,"Green Healthy (Rock-Solid Stability)"
2023-06,ing001,"Flatbread Dough (8-pack)",11.63,8.47,0.73,"Red Alert (Wildly Volatile)"
2023-06,ing002,"Roasted Red Peppers",15.73,2.53,0.16,"Green Healthy (Rock-Solid Stability)"
2023-06,ing003,"Goat Cheese",10.90,1.89,0.17,"Green Healthy (Rock-Solid Stability)"
2023-06,ing004,"Black Olives",20.03,2.9,0.14,"Green Healthy (Rock-Solid Stability)"
2023-06,ing005,"Sun-Dried Tomatoes",15.80,2.37,0.15,"Green Healthy (Rock-Solid Stability)"
2023-06,ing006,"Spicy Chicken",8.25,1.5,0.18,"Green Healthy (Rock-Solid Stability)"
2023-06,ing007,Jalapenos,16.97,3.17,0.19,"Green Healthy (Rock-Solid Stability)"
2023-06,ing008,"Smoked Gouda",8.96,1.95,0.22,"Yellow Warning (Moderately Shifting)"
2023-06,ing009,"Chipotle Sauce",16.39,2.5,0.15,"Green Healthy (Rock-Solid Stability)"
2023-06,ing010,"Wild Mushrooms",8.96,2.91,0.32,"Yellow Warning (Moderately Shifting)"
2023-06,ing011,"Truffle Oil",4.80,1.35,0.28,"Yellow Warning (Moderately Shifting)"
2023-06,ing012,Mozzarella,17.10,3.39,0.2,"Yellow Warning (Moderately Shifting)"
2023-06,ing013,"Fresh Spinach",13.11,1.9,0.14,"Green Healthy (Rock-Solid Stability)"
2023-06,ing014,"Italian Sausage",8.70,1.75,0.2,"Yellow Warning (Moderately Shifting)"
2023-06,ing015,"Roasted Garlic",13.73,2.49,0.18,"Green Healthy (Rock-Solid Stability)"
2023-06,ing016,"Red Onion",17.03,2.87,0.17,"Green Healthy (Rock-Solid Stability)"
2023-06,ing017,"Fresh Basil",8.50,1.18,0.14,"Green Healthy (Rock-Solid Stability)"
2023-06,ing018,"Smoked Salmon",-4.13,3.73,-0.9,"Red Alert (Wildly Volatile)"
2023-06,ing019,"Dill Cream Cheese",9.07,1.86,0.21,"Yellow Warning (Moderately Shifting)"
2023-06,ing020,Capers,9.73,1.29,0.13,"Green Healthy (Rock-Solid Stability)"
2023-06,ing021,Arugula,15.00,2.49,0.17,"Green Healthy (Rock-Solid Stability)"
2023-06,ing022,"BBQ Brisket",7.17,1.42,0.2,"Yellow Warning (Moderately Shifting)"
2023-06,ing023,"Cheddar Cheese",10.90,1.74,0.16,"Green Healthy (Rock-Solid Stability)"
2023-06,ing024,"BBQ Sauce",13.17,2.05,0.16,"Green Healthy (Rock-Solid Stability)"
2023-06,ing025,"Tandoori Chicken",8.27,1.71,0.21,"Yellow Warning (Moderately Shifting)"
2023-06,ing026,"Mint Yogurt",10.47,1.96,0.19,"Green Healthy (Rock-Solid Stability)"
2023-06,ing027,"Green Chilli",7.00,1.29,0.18,"Green Healthy (Rock-Solid Stability)"
2023-06,ing028,"Grilled Pineapple",9.03,1.47,0.16,"Green Healthy (Rock-Solid Stability)"
2023-06,ing029,"Pulled Pork",5.45,1.45,0.27,"Yellow Warning (Moderately Shifting)"
2023-06,ing030,"Truffle Fries",18.30,3.17,0.17,"Green Healthy (Rock-Solid Stability)"
2023-06,ing031,Parmesan,10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-06,ing032,"Cauliflower Florets",15.19,2.34,0.15,"Green Healthy (Rock-Solid Stability)"
2023-06,ing033,"Buffalo Sauce",11.46,1.18,0.1,"Green Healthy (Rock-Solid Stability)"
2023-06,ing034,Ranch,13.19,0.39,0.03,"Green Healthy (Rock-Solid Stability)"
2023-06,ing035,"Garlic Knots",24.61,4.52,0.18,"Green Healthy (Rock-Solid Stability)"
2023-06,ing036,Kale,16.71,0.45,0.03,"Green Healthy (Rock-Solid Stability)"
2023-06,ing037,Spinach,13.17,2.21,0.17,"Green Healthy (Rock-Solid Stability)"
2023-06,ing038,Avocado,12.71,0.45,0.04,"Green Healthy (Rock-Solid Stability)"
2023-06,ing039,"Mixed Seeds",16.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-06,ing040,"Caramel Filling",12.13,2.03,0.17,"Green Healthy (Rock-Solid Stability)"
2023-06,ing041,"Chocolate Syrup",18.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-06,ing042,"Espresso Panna Base",10.19,1.82,0.18,"Green Healthy (Rock-Solid Stability)"
2023-06,ing043,"Vanilla Syrup",10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-06,ing044,"Berry Mix",16.09,3.01,0.19,"Green Healthy (Rock-Solid Stability)"
2023-06,ing045,"Oat Crumble",17.04,1.46,0.09,"Green Healthy (Rock-Solid Stability)"
2023-06,ing046,"Mango Sticky Rice Mix",14.92,2.08,0.14,"Green Healthy (Rock-Solid Stability)"
2023-06,ing047,"Cold Brew Coffee",52.04,11.51,0.22,"Yellow Warning (Moderately Shifting)"
2023-06,ing048,"Cold Brew Coffee 1.5L",26.85,8.23,0.31,"Yellow Warning (Moderately Shifting)"
2023-06,ing049,"Ginger Fizz 33cl",54.08,11.19,0.21,"Yellow Warning (Moderately Shifting)"
2023-06,ing050,"Ginger Fizz 1.5L",31.67,10.9,0.34,"Yellow Warning (Moderately Shifting)"
2023-06,ing051,"Lime Mint Sparkle 33cl",59.09,11.55,0.2,"Yellow Warning (Moderately Shifting)"
2023-06,ing052,"Lime Mint Sparkle 1.5L",32.76,7.74,0.24,"Yellow Warning (Moderately Shifting)"
2023-06,ing053,"Berry Kombucha 33cl",54.13,11.23,0.21,"Yellow Warning (Moderately Shifting)"
2023-06,ing054,"Berry Kombucha 1.5L",34.61,9.76,0.28,"Yellow Warning (Moderately Shifting)"
